Target,Prime,Tick(s),Type,RT,LD,SD,LD+SD,LD*SD,Target_Length,Prime_Length,Target_Frequency,Prime_Frequency,F1_Target,F2_Target,F1_Prime,F2_Prime
abito,abitudine,1,opaque,555.1909,0.00332636602376,0.630303308804,0.633629674828,0.00209661951107,5,9,2642,1455,0.734412270551,0.7888441828578947,0.638965518114,0.6759328895811383
artiglio,artigliere,1,opaque,590.13435,4.57854493841e-05,0.425130596296,0.425176381746,1.94647953983e-05,8,10,124,109,0.754517743192,0.7137306473576948,0.756950519062,0.8997403389370027
asta,astuccio,1,opaque,592.9565,0.00747214202471,0.628713130418,0.636185272442,0.00469783380328,4,8,1463,57,0.73158166788,0.4922097042783122,0.716594825609,0.6865191322644311
ballo,ballatoio,1,opaque,565.5212,0.00122940089503,0.594702448296,0.595931849191,0.00073112772221,5,9,7440,13,0.731792136425,0.6087981617496542,0.771528482565,1.0803324199549038
bara,barella,1,opaque,684.5984,0.00735845170487,0.582743003046,0.590101454751,0.00428808624427,4,7,1243,440,0.811784530104,0.5388677821723661,0.736999093855,0.6724944089584306
bile,bilico,1,opaque,663.0447,0.00774375780197,0.908577698742,0.916321456544,0.00703580564333,4,6,87,103,0.742386930409,0.7259650500383013,0.832959149642,0.5
boccia,bocciolo,1,opaque,570.2725,0.000463396339029,0.540972427188,0.541435823527,0.000250684642275,6,8,145,73,0.644916388133,0.5494941064135214,0.672766536093,0.765305081212644
bordo,bordello,1,opaque,554.70045,0.00183318210983,0.746660207779,0.748493389889,0.00136876413502,5,8,5785,603,0.769170252333,0.6167099347630552,0.761223368815,0.6754116722680835
botte,bottino,1,opaque,512.6182,0.00333697264645,0.707938067343,0.711275039989,0.0023623699661,5,7,1590,542,0.714459451563,0.6614021719073178,0.775009361256,0.592653844104113
botto,bottone,1,opaque,553.2769,0.000464705634091,0.566876541269,0.567341246903,0.000263430722562,5,7,337,952,0.693242880284,0.5268459576137331,0.704335710154,0.6981054232883036
branda,brandello,1,opaque,708.461,0.000463616173641,0.557811309412,0.558274925586,0.000258610344884,6,9,174,38,0.72833894936,0.5937841691672452,0.700581259503,0.7845370626260588
briga,brigante,1,opaque,737.06505,0.000480774761932,0.64761514791,0.648095922672,0.00031135701856,5,8,217,98,0.729166621793,0.5039656938033669,0.674371532616,0.7746034665176615
bullo,bullone,1,opaque,524.7755,0.000463327643831,0.530976203125,0.531439530769,0.000246015953124,5,7,319,78,0.687958039438,0.6557261133175987,0.71657562966,0.8533909515811531
